,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total_Assets,Assets_score,Assets_to_loan_score,Income_to_loan,Income_to_loan_score,Income_to_Loan_score_per_dependancy
1254,5, Not Graduate, Yes,9800000,35700000,10,726,9400000,18900000,31200000,12000000,1,59500000,43197000000,1210.0,2.7450980392156863,1992.9411764705883,332.15686274509807
1255,4, Graduate, No,800000,3100000,18,712,400000,700000,1900000,1100000,1,3000000,2136000000,689.0322580645161,4.645161290322581,3307.3548387096776,661.4709677419355
1256,0, Not Graduate, No,9700000,37300000,20,701,12100000,16200000,24100000,10500000,1,52400000,36732400000,984.7828418230563,5.201072386058981,3645.951742627346,3645.951742627346
1257,3, Graduate, No,6200000,21300000,12,655,6500000,11600000,19200000,5000000,1,37300000,24431500000,1147.018779342723,3.492957746478873,2287.8873239436616,571.9718309859154
1258,1, Not Graduate, Yes,4400000,16600000,18,385,800000,5300000,13400000,5100000,0,19500000,7507500000,452.2590361445783,4.771084337349397,1836.867469879518,918.433734939759
1259,2, Graduate, No,1800000,3800000,4,777,5100000,2700000,4600000,1400000,1,12400000,9634800000,2535.4736842105262,1.894736842105263,1472.2105263157894,490.7368421052631
1260,3, Graduate, No,1700000,5300000,14,696,300000,700000,4500000,800000,1,5500000,3828000000,722.2641509433962,4.490566037735849,3125.433962264151,781.3584905660377
1261,3, Graduate, No,3900000,14100000,16,496,2500000,2200000,13700000,2900000,0,18400000,9126400000,647.2624113475177,4.425531914893617,2195.063829787234,548.7659574468086
1262,2, Graduate, Yes,2200000,7900000,6,659,3400000,1800000,8600000,2400000,1,13800000,9094200000,1151.1645569620252,1.6708860759493671,1101.113924050633,367.0379746835443
1263,3, Not Graduate, Yes,6300000,17700000,2,542,16800000,900000,16400000,5300000,0,34100000,18482200000,1044.1920903954801,0.711864406779661,385.8305084745763,96.45762711864407
1264,2, Not Graduate, No,2200000,8700000,18,729,3900000,3300000,7600000,1300000,1,14800000,10789200000,1240.1379310344828,4.551724137931035,3318.206896551724,1106.0689655172414
1265,1, Graduate, No,8100000,28400000,6,744,20300000,10500000,21800000,7700000,1,52600000,39134400000,1377.9718309859154,1.7112676056338028,1273.1830985915492,636.5915492957746
1266,4, Not Graduate, No,6800000,17000000,2,749,18000000,3800000,27100000,9400000,1,48900000,36626100000,2154.4764705882353,0.8,599.2,119.84
1267,0, Graduate, No,4700000,14800000,20,755,12300000,5000000,15400000,3700000,1,32700000,24688500000,1668.1418918918919,6.351351351351352,4795.270270270271,4795.270270270271
1268,3, Graduate, Yes,2200000,5300000,2,506,1600000,1700000,5800000,2800000,0,9100000,4604600000,868.7924528301887,0.8301886792452831,420.07547169811323,105.01886792452831
1269,3, Graduate, Yes,3500000,13000000,6,391,6100000,3500000,13300000,4300000,0,22900000,8953900000,688.7615384615384,1.6153846153846154,631.6153846153846,157.90384615384616
1270,1, Not Graduate, Yes,3500000,11600000,10,898,3100000,2700000,9000000,4500000,1,14800000,13290400000,1145.7241379310344,3.0172413793103448,2709.4827586206898,1354.7413793103449
1271,5, Not Graduate, No,500000,1500000,12,527,100000,600000,1100000,200000,0,1800000,948600000,632.4,4.0,2108.0,351.3333333333333
1272,5, Not Graduate, No,9900000,35800000,20,470,9500000,18400000,39100000,14700000,0,67000000,31490000000,879.608938547486,5.5307262569832405,2599.441340782123,433.2402234636872
1273,1, Graduate, No,8400000,25000000,12,694,5300000,14900000,23000000,7700000,1,43200000,29980800000,1199.232,4.032,2798.208,1399.104
1274,1, Graduate, No,5000000,18800000,14,325,13100000,5700000,12800000,4300000,0,31600000,10270000000,546.2765957446809,3.723404255319149,1210.1063829787233,605.0531914893617
1275,4, Not Graduate, Yes,5500000,13400000,10,880,300000,800000,19900000,2800000,1,21000000,18480000000,1379.1044776119404,4.104477611940299,3611.9402985074626,722.3880597014925
1276,5, Graduate, Yes,3000000,11900000,14,459,6000000,4800000,11700000,4200000,0,22500000,10327500000,867.8571428571429,3.5294117647058822,1620.0,270.0
1277,3, Not Graduate, Yes,9400000,21400000,10,323,5100000,15500000,29600000,11300000,0,50200000,16214600000,757.6915887850467,4.392523364485982,1418.785046728972,354.696261682243
1278,4, Graduate, No,7600000,29000000,8,739,22100000,8100000,22100000,8800000,1,52300000,38649700000,1332.748275862069,2.0965517241379312,1549.3517241379311,309.8703448275862
1279,0, Not Graduate, Yes,5500000,16300000,10,724,11900000,1500000,11900000,6200000,1,25300000,18317200000,1123.7546012269938,3.374233128834356,2442.9447852760736,2442.9447852760736
1280,1, Graduate, No,3100000,7400000,18,487,8400000,1200000,9200000,4500000,0,18800000,9155600000,1237.2432432432433,7.54054054054054,3672.2432432432433,1836.1216216216217
1281,3, Graduate, No,7700000,27700000,4,439,13900000,7500000,27100000,6200000,1,48500000,21291500000,768.6462093862816,1.111913357400722,488.12996389891697,122.03249097472924
1282,2, Graduate, No,9800000,25400000,2,655,19900000,4600000,21300000,7900000,1,45800000,29999000000,1181.0629921259842,0.7716535433070866,505.4330708661417,168.4776902887139
1283,3, Not Graduate, No,3200000,9200000,14,443,3300000,1100000,7200000,4500000,0,11600000,5138800000,558.5652173913044,4.869565217391305,2157.217391304348,539.304347826087
1284,2, Graduate, No,700000,2600000,20,489,100000,200000,2400000,900000,0,2700000,1320300000,507.8076923076923,5.384615384615385,2633.0769230769233,877.6923076923077
1285,4, Not Graduate, Yes,3100000,8600000,14,427,3100000,3800000,9900000,3700000,0,16800000,7173600000,834.1395348837209,5.046511627906977,2154.860465116279,430.9720930232558
1286,0, Graduate, Yes,4500000,10500000,20,417,9800000,2000000,9600000,5800000,0,21400000,8923800000,849.8857142857142,8.571428571428571,3574.285714285714,3574.285714285714
1287,5, Not Graduate, Yes,8900000,24800000,18,842,16200000,5000000,20000000,8100000,1,41200000,34690400000,1398.8064516129032,6.459677419354839,5439.048387096775,906.5080645161291
1288,3, Not Graduate, No,5900000,23200000,2,307,15500000,10000000,21100000,6300000,1,46600000,14306200000,616.6465517241379,0.5086206896551724,156.1465517241379,39.03663793103448
1289,2, Not Graduate, No,1500000,4500000,18,428,4500000,1200000,5600000,1100000,0,11300000,4836400000,1074.7555555555555,6.0,2568.0,856.0
1290,4, Not Graduate, Yes,6300000,15200000,16,415,15500000,1800000,20700000,7900000,0,38000000,15770000000,1037.5,6.631578947368421,2752.105263157895,550.421052631579
1291,3, Not Graduate, Yes,6500000,18200000,20,405,10400000,2800000,21300000,6700000,0,34500000,13972500000,767.7197802197802,7.142857142857143,2892.857142857143,723.2142857142858
1292,4, Graduate, No,8000000,31500000,18,683,10300000,7900000,30100000,9600000,1,48300000,32988900000,1047.2666666666667,4.571428571428571,3122.285714285714,624.4571428571428
1293,1, Graduate, Yes,3300000,10600000,14,742,300000,600000,8400000,4500000,1,9300000,6900600000,651.0,4.3584905660377355,3234.0,1617.0
1294,4, Not Graduate, No,3900000,10000000,10,530,10900000,200000,12300000,1900000,0,23400000,12402000000,1240.2,3.9,2067.0,413.4
1295,3, Graduate, No,1600000,3500000,10,844,4500000,2200000,5200000,1600000,1,11900000,10043600000,2869.6,4.571428571428571,3858.285714285714,964.5714285714286
1296,2, Not Graduate, Yes,3900000,13900000,18,715,5000000,5600000,9900000,2100000,1,20500000,14657500000,1054.4964028776978,5.0503597122302155,3611.0071942446043,1203.6690647482014
1297,3, Graduate, Yes,8000000,26300000,12,476,21700000,6600000,16400000,9000000,0,44700000,21277200000,809.0190114068441,3.650190114068441,1737.490494296578,434.3726235741445
1298,2, Graduate, No,2200000,4800000,6,721,1800000,100000,6900000,2200000,1,8800000,6344800000,1321.8333333333333,2.75,1982.75,660.9166666666666
1299,4, Not Graduate, No,7600000,30300000,12,339,20400000,8000000,22200000,5800000,0,50600000,17153400000,566.1188118811881,3.00990099009901,1020.3564356435644,204.07128712871287
1300,5, Not Graduate, Yes,2700000,6800000,6,461,4500000,2000000,8200000,1700000,0,14700000,6776700000,996.5735294117648,2.3823529411764706,1098.264705882353,183.0441176470588
1301,2, Graduate, Yes,6300000,23200000,12,556,7000000,8300000,24200000,5300000,1,39500000,21962000000,946.6379310344828,3.2586206896551726,1811.793103448276,603.9310344827587
1302,3, Not Graduate, No,7700000,18700000,8,483,15100000,5600000,24600000,10200000,0,45300000,21879900000,1170.048128342246,3.2941176470588234,1591.0588235294117,397.7647058823529
1303,2, Graduate, No,4500000,17200000,18,406,4100000,6300000,13800000,3300000,0,24200000,9825200000,571.2325581395348,4.709302325581396,1911.9767441860467,637.3255813953489
1304,2, Graduate, Yes,9400000,24800000,14,513,24200000,18200000,37200000,7500000,0,79600000,40834800000,1646.5645161290322,5.306451612903226,2722.209677419355,907.4032258064517
1305,0, Not Graduate, No,4600000,12600000,16,574,3400000,6200000,15100000,3600000,1,24700000,14177800000,1125.2222222222222,5.841269841269841,3352.8888888888887,3352.8888888888887
1306,0, Graduate, Yes,5200000,15700000,6,692,3800000,7000000,12800000,5500000,1,23600000,16331200000,1040.2038216560509,1.9872611464968153,1375.1847133757963,1375.1847133757963
1307,5, Graduate, Yes,8000000,29800000,18,867,17700000,14100000,22800000,9200000,1,54600000,47338200000,1588.5302013422818,4.832214765100671,4189.5302013422815,698.2550335570469
1308,1, Not Graduate, Yes,9900000,38500000,2,875,19600000,2900000,20200000,6500000,1,42700000,37362500000,970.4545454545455,0.5142857142857142,449.99999999999994,224.99999999999997
1309,4, Graduate, Yes,8500000,18600000,10,597,16600000,3200000,21000000,11600000,1,40800000,24357600000,1309.5483870967741,4.56989247311828,2728.225806451613,545.6451612903227
1310,2, Graduate, Yes,4900000,12000000,20,513,14200000,8100000,18300000,4800000,0,40600000,20827800000,1735.65,8.166666666666666,4189.5,1396.5
1311,3, Graduate, Yes,7000000,24200000,2,354,18200000,7000000,15900000,7900000,1,41100000,14549400000,601.2148760330579,0.5785123966942148,204.79338842975204,51.19834710743801
1312,2, Not Graduate, No,9600000,25900000,18,647,11800000,9900000,35600000,11500000,1,57300000,37073100000,1431.3938223938223,6.671814671814672,4316.664092664093,1438.888030888031
1313,1, Graduate, No,9700000,23700000,6,875,11500000,14400000,38100000,10400000,1,64000000,56000000000,2362.869198312236,2.4556962025316458,2148.73417721519,1074.367088607595
1314,1, Graduate, No,6200000,14300000,20,819,7500000,11700000,16700000,4300000,1,35900000,29402100000,2056.090909090909,8.671328671328672,7101.818181818182,3550.909090909091
1315,4, Not Graduate, Yes,4100000,9600000,10,521,11900000,7100000,14100000,4900000,0,33100000,17245100000,1796.3645833333333,4.270833333333333,2225.1041666666665,445.0208333333333
1316,0, Graduate, Yes,6100000,19900000,20,761,4500000,3700000,12700000,7100000,1,20900000,15904900000,799.2412060301508,6.130653266331659,4665.427135678392,4665.427135678392
1317,0, Graduate, No,700000,1900000,18,572,1400000,1000000,2000000,300000,1,4400000,2516800000,1324.6315789473683,6.631578947368421,3793.263157894737,3793.263157894737
1318,3, Graduate, No,6400000,24100000,12,571,19000000,11500000,13200000,7500000,1,43700000,24952700000,1035.3817427385893,3.1867219917012446,1819.6182572614107,454.9045643153527
1319,4, Graduate, Yes,3800000,7800000,20,891,4600000,7000000,14300000,3300000,1,25900000,23076900000,2958.576923076923,9.743589743589743,8681.538461538461,1736.3076923076922
1320,1, Not Graduate, No,4900000,14800000,12,895,8600000,8200000,18300000,5200000,1,35100000,31414500000,2122.6013513513512,3.972972972972973,3555.810810810811,1777.9054054054054
1321,2, Graduate, No,2100000,6600000,20,580,3800000,4100000,6200000,2100000,1,14100000,8178000000,1239.090909090909,6.363636363636363,3690.9090909090905,1230.3030303030303
1322,2, Graduate, No,6200000,23400000,8,605,10000000,10800000,21800000,9200000,1,42600000,25773000000,1101.4102564102564,2.1196581196581197,1282.3931623931624,427.46438746438747
1323,4, Not Graduate, No,1600000,5100000,8,705,2400000,800000,5100000,1900000,1,8300000,5851500000,1147.3529411764705,2.5098039215686274,1769.4117647058824,353.88235294117646
1324,1, Not Graduate, Yes,1300000,5000000,20,423,900000,800000,3900000,1600000,0,5600000,2368800000,473.76,5.2,2199.6,1099.8
1325,5, Not Graduate, Yes,7300000,22500000,2,846,9800000,4700000,20300000,5700000,1,34800000,29440800000,1308.48,0.6488888888888888,548.9599999999999,91.49333333333333
1326,2, Not Graduate, No,2100000,5000000,4,542,700000,600000,6600000,3100000,0,7900000,4281800000,856.36,1.68,910.56,303.52
1327,5, Not Graduate, No,600000,2400000,18,631,600000,300000,2100000,900000,1,3000000,1893000000,788.75,4.5,2839.5,473.25
1328,4, Graduate, No,7000000,24500000,18,318,4300000,1700000,16300000,3600000,0,22300000,7091400000,289.44489795918366,5.142857142857143,1635.4285714285716,327.0857142857143
1329,1, Not Graduate, Yes,3000000,6800000,10,541,5800000,5700000,10700000,2900000,0,22200000,12010200000,1766.2058823529412,4.411764705882353,2386.764705882353,1193.3823529411766
1330,1, Graduate, No,900000,2900000,20,782,0,1500000,3500000,800000,1,5000000,3910000000,1348.2758620689656,6.206896551724138,4853.793103448276,2426.896551724138
1331,2, Graduate, No,9600000,35000000,2,888,12600000,6500000,37900000,5800000,1,57000000,50616000000,1446.1714285714286,0.5485714285714286,487.1314285714286,162.37714285714287
1332,0, Graduate, No,1500000,3600000,14,747,200000,1400000,3000000,1200000,1,4600000,3436200000,954.5,5.833333333333333,4357.5,4357.5
1333,0, Graduate, Yes,5000000,18900000,6,641,4300000,8500000,19600000,6700000,1,32400000,20768400000,1098.857142857143,1.5873015873015872,1017.4603174603174,1017.4603174603174
1334,3, Graduate, Yes,500000,1700000,4,640,400000,700000,1300000,200000,1,2400000,1536000000,903.5294117647059,1.1764705882352942,752.9411764705883,188.23529411764707
1335,4, Not Graduate, No,7600000,28100000,12,324,12500000,8500000,19900000,11100000,0,40900000,13251600000,471.5871886120996,3.2455516014234878,1051.55871886121,210.311743772242
1336,4, Graduate, No,5500000,21200000,20,359,4200000,5300000,18600000,6400000,0,28100000,10087900000,475.8443396226415,5.188679245283019,1862.735849056604,372.54716981132077
1337,0, Not Graduate, Yes,6600000,23300000,12,338,2400000,800000,18900000,9300000,0,22100000,7469800000,320.5922746781116,3.3991416309012874,1148.909871244635,1148.909871244635
1338,0, Graduate, No,1400000,3200000,14,384,3100000,800000,3400000,2000000,0,7300000,2803200000,876.0,6.125,2352.0,2352.0
1339,5, Not Graduate, Yes,8800000,26600000,16,545,19100000,16600000,30400000,7600000,0,66100000,36024500000,1354.3045112781954,5.293233082706767,2884.812030075188,480.8020050125313
1340,5, Not Graduate, No,6200000,24200000,18,610,10200000,7800000,19600000,8300000,1,37600000,22936000000,947.7685950413223,4.6115702479338845,2813.0578512396696,468.8429752066116
1341,2, Graduate, Yes,8300000,27900000,18,840,12600000,3500000,19100000,9200000,1,35200000,29568000000,1059.784946236559,5.354838709677419,4498.064516129032,1499.3548387096773
1342,3, Not Graduate, No,2400000,8100000,6,630,5100000,2900000,9100000,2300000,1,17100000,10773000000,1330.0,1.7777777777777777,1120.0,280.0
1343,1, Graduate, No,9100000,31200000,4,508,12800000,11700000,31100000,7800000,1,55600000,28244800000,905.2820512820513,1.1666666666666667,592.6666666666667,296.33333333333337
1344,0, Not Graduate, Yes,9500000,34900000,4,535,800000,14100000,25600000,14000000,1,40500000,21667500000,620.8452722063038,1.0888252148997135,582.5214899713467,582.5214899713467
1345,1, Graduate, No,1200000,3400000,20,717,3100000,1500000,2500000,900000,1,7100000,5090700000,1497.264705882353,7.0588235294117645,5061.176470588235,2530.5882352941176
1346,2, Graduate, Yes,7700000,19300000,8,735,1200000,1900000,23800000,10400000,1,26900000,19771500000,1024.4300518134714,3.1917098445595853,2345.9067357512954,781.9689119170985
1347,5, Graduate, Yes,7800000,22000000,20,528,5800000,8800000,24700000,4900000,0,39300000,20750400000,943.2,7.090909090909091,3744.0,624.0
1348,0, Graduate, Yes,9400000,20000000,4,350,3300000,1400000,37200000,4700000,0,41900000,14665000000,733.25,1.88,658.0,658.0
1349,0, Not Graduate, No,1700000,5700000,12,422,3400000,1100000,6500000,900000,0,11000000,4642000000,814.3859649122807,3.5789473684210527,1510.3157894736842,1510.3157894736842
1350,5, Graduate, No,4000000,13700000,6,496,-100000,1400000,15800000,3700000,0,17100000,8481600000,619.0948905109489,1.7518248175182483,868.9051094890511,144.8175182481752
1351,4, Not Graduate, No,4200000,15500000,18,794,7300000,700000,13400000,2200000,1,21400000,16991600000,1096.2322580645161,4.877419354838709,3872.6709677419353,774.5341935483871
1352,2, Graduate, No,2400000,7700000,6,719,6000000,1700000,6700000,1600000,1,14400000,10353600000,1344.6233766233765,1.87012987012987,1344.6233766233765,448.2077922077922
1353,3, Not Graduate, Yes,2700000,6100000,14,630,3900000,2800000,10600000,2300000,1,17300000,10899000000,1786.72131147541,6.19672131147541,3903.9344262295085,975.9836065573771
1354,3, Not Graduate, Yes,600000,1800000,4,843,1400000,300000,1700000,400000,1,3400000,2866200000,1592.3333333333333,1.3333333333333333,1124.0,281.0
1355,2, Graduate, No,4600000,15600000,2,764,7700000,1500000,16000000,5800000,1,25200000,19252800000,1234.1538461538462,0.5897435897435898,450.5641025641026,150.1880341880342
1356,3, Graduate, No,7200000,17700000,4,662,13100000,11500000,16300000,5300000,1,40900000,27075800000,1529.7062146892656,1.6271186440677967,1077.1525423728815,269.2881355932204
1357,0, Not Graduate, No,4700000,15500000,16,311,12800000,200000,17500000,2700000,0,30500000,9485500000,611.9677419354839,4.851612903225806,1508.8516129032257,1508.8516129032257
1358,4, Not Graduate, No,4300000,10100000,2,606,9900000,1800000,8900000,5500000,1,20600000,12483600000,1236.0,0.8514851485148515,516.0,103.2
1359,5, Graduate, No,4700000,10200000,16,874,10800000,7700000,11100000,7000000,1,29600000,25870400000,2536.3137254901962,7.372549019607843,6443.607843137254,1073.9346405228757
1360,4, Not Graduate, Yes,8700000,30000000,4,370,17600000,15600000,34600000,12100000,1,67800000,25086000000,836.2,1.16,429.2,85.84
1361,1, Graduate, No,7000000,20500000,10,414,19700000,7500000,20700000,5100000,0,47900000,19830600000,967.3463414634147,3.4146341463414633,1413.6585365853657,706.8292682926829
1362,2, Not Graduate, No,600000,1100000,10,800,1200000,200000,2300000,900000,1,3700000,2960000000,2690.909090909091,5.454545454545454,4363.636363636363,1454.5454545454543
1363,1, Not Graduate, No,6800000,16900000,12,779,13800000,10200000,23400000,4400000,1,47400000,36924600000,2184.887573964497,4.828402366863905,3761.3254437869823,1880.6627218934912
1364,1, Not Graduate, No,6400000,14100000,20,553,11700000,4500000,20000000,3600000,1,36200000,20018600000,1419.758865248227,9.078014184397164,5020.141843971632,2510.070921985816
1365,4, Not Graduate, No,7600000,29900000,18,445,4800000,13900000,18400000,5700000,0,37100000,16509500000,552.1571906354515,4.575250836120401,2035.9866220735785,407.1973244147157
1366,3, Not Graduate, No,9000000,21400000,8,496,16400000,7300000,31800000,12500000,0,55500000,27528000000,1286.3551401869158,3.364485981308411,1668.785046728972,417.196261682243
1367,0, Graduate, Yes,2400000,5900000,10,650,5100000,3700000,5300000,2300000,1,14100000,9165000000,1553.3898305084747,4.067796610169491,2644.0677966101694,2644.0677966101694
1368,3, Not Graduate, No,6800000,17900000,6,783,20000000,9800000,23600000,5500000,1,53400000,41812200000,2335.877094972067,2.2793296089385473,1784.7150837988825,446.1787709497206
1369,5, Graduate, Yes,3500000,13500000,10,535,3100000,5700000,12500000,3100000,0,21300000,11395500000,844.1111111111111,2.5925925925925926,1387.037037037037,231.17283950617283
1370,4, Graduate, Yes,8900000,34000000,20,415,13500000,3100000,33600000,12800000,0,50200000,20833000000,612.7352941176471,5.235294117647059,2172.6470588235293,434.52941176470586
1371,0, Not Graduate, No,6000000,15300000,8,709,8900000,1700000,16400000,3500000,1,27000000,19143000000,1251.1764705882354,3.1372549019607843,2224.3137254901962,2224.3137254901962
1372,3, Not Graduate, No,700000,2500000,14,819,1600000,1000000,2100000,900000,1,4700000,3849300000,1539.72,3.92,3210.48,802.62
1373,0, Not Graduate, Yes,6800000,17300000,18,841,10500000,8600000,16000000,8700000,1,35100000,29519100000,1706.3063583815028,7.07514450867052,5950.196531791908,5950.196531791908
1374,4, Not Graduate, Yes,5300000,10700000,12,700,15800000,1900000,20500000,2900000,1,38200000,26740000000,2499.0654205607475,5.94392523364486,4160.747663551402,832.1495327102805
1375,1, Graduate, Yes,1400000,4200000,4,881,2800000,1200000,5100000,1300000,1,9100000,8017100000,1908.8333333333333,1.3333333333333333,1174.6666666666665,587.3333333333333
1376,2, Graduate, Yes,1400000,4600000,4,804,1900000,2200000,5200000,700000,1,9300000,7477200000,1625.4782608695652,1.2173913043478262,978.7826086956522,326.26086956521743
1377,4, Not Graduate, No,9200000,21700000,6,653,22700000,4600000,29400000,8600000,1,56700000,37025100000,1706.225806451613,2.543778801843318,1661.0875576036867,332.21751152073733
1378,1, Graduate, Yes,7900000,29200000,2,663,19600000,12100000,28600000,10100000,1,60300000,39978900000,1369.140410958904,0.541095890410959,358.7465753424658,179.3732876712329
1379,0, Not Graduate, No,4500000,17500000,10,495,10300000,3500000,9700000,6200000,0,23500000,11632500000,664.7142857142857,2.5714285714285716,1272.857142857143,1272.857142857143
1380,1, Not Graduate, No,3800000,9800000,8,335,100000,5100000,14200000,1800000,0,19400000,6499000000,663.1632653061224,3.1020408163265305,1039.1836734693877,519.5918367346939
1381,5, Graduate, Yes,1500000,4900000,6,618,3400000,1000000,3200000,900000,1,7600000,4696800000,958.530612244898,1.836734693877551,1135.1020408163265,189.18367346938774
1382,3, Not Graduate, No,1200000,2400000,12,480,3000000,100000,3100000,1700000,0,6200000,2976000000,1240.0,6.0,2880.0,720.0
1383,4, Not Graduate, No,1700000,4900000,18,843,4800000,2200000,6200000,1800000,1,13200000,11127600000,2270.938775510204,6.244897959183674,5264.448979591837,1052.8897959183673
1384,4, Graduate, No,5200000,14100000,16,483,11800000,800000,19200000,2700000,0,31800000,15359400000,1089.3191489361702,5.900709219858156,2850.0425531914893,570.0085106382978
1385,1, Not Graduate, No,1600000,5100000,12,548,2200000,2700000,3600000,800000,0,8500000,4658000000,913.3333333333334,3.764705882352941,2063.0588235294117,1031.5294117647059
1386,4, Graduate, Yes,6600000,16000000,16,379,6500000,12600000,24700000,4500000,0,43800000,16600200000,1037.5125,6.6,2501.4,500.28000000000003
1387,5, Not Graduate, Yes,9400000,26600000,20,771,10200000,12600000,36900000,11700000,1,59700000,46028700000,1730.4022556390978,7.067669172932331,5449.172932330827,908.1954887218045
1388,4, Graduate, Yes,300000,500000,2,353,600000,100000,1200000,400000,0,1900000,670700000,1341.4,1.2,423.59999999999997,84.72
1389,5, Not Graduate, No,4600000,11500000,16,668,6500000,3100000,10200000,5500000,1,19800000,13226400000,1150.121739130435,6.4,4275.2,712.5333333333333
1390,3, Not Graduate, Yes,6100000,21300000,2,387,7100000,3100000,16300000,4100000,1,26500000,10255500000,481.4788732394366,0.5727699530516432,221.66197183098595,55.41549295774649
1391,0, Not Graduate, Yes,1500000,4100000,12,789,3600000,1600000,5800000,1300000,1,11000000,8679000000,2116.829268292683,4.390243902439025,3463.9024390243903,3463.9024390243903
1392,0, Graduate, Yes,400000,900000,2,855,-100000,500000,1300000,400000,1,1700000,1453500000,1615.0,0.8888888888888888,760.0,760.0
1393,0, Not Graduate, No,8700000,33600000,14,751,7100000,13700000,22800000,7000000,1,43600000,32743600000,974.5119047619048,3.625,2722.375,2722.375
1394,3, Not Graduate, No,7000000,21600000,12,739,1600000,7600000,24500000,8400000,1,33700000,24904300000,1152.976851851852,3.888888888888889,2873.8888888888887,718.4722222222222
1395,4, Graduate, No,4700000,13100000,14,492,1000000,4500000,14100000,6400000,0,19600000,9643200000,736.1221374045801,5.022900763358779,2471.267175572519,494.2534351145038
1396,4, Not Graduate, Yes,7600000,23800000,16,896,3700000,4500000,15400000,6400000,1,23600000,21145600000,888.4705882352941,5.109243697478991,4577.882352941177,915.5764705882353
1397,1, Not Graduate, Yes,9200000,24500000,4,545,25700000,0,20600000,13300000,0,46300000,25233500000,1029.938775510204,1.5020408163265306,818.6122448979592,409.3061224489796
1398,5, Not Graduate, No,9400000,36800000,20,891,13900000,16600000,19300000,8900000,1,49800000,44371800000,1205.7554347826087,5.108695652173913,4551.847826086957,758.6413043478261
1399,0, Graduate, No,4800000,15100000,6,848,1300000,300000,18800000,3500000,1,20400000,17299200000,1145.6423841059602,1.9072847682119205,1617.3774834437086,1617.3774834437086
1400,3, Not Graduate, Yes,600000,2400000,12,884,600000,800000,1400000,600000,1,2800000,2475200000,1031.3333333333333,3.0,2652.0,663.0
1401,3, Graduate, Yes,4900000,14300000,14,439,10300000,5600000,17400000,5100000,0,33300000,14618700000,1022.2867132867133,4.7972027972027975,2105.972027972028,526.493006993007
1402,3, Graduate, Yes,3300000,8500000,12,586,7500000,5100000,7800000,3900000,1,20400000,11954400000,1406.4,4.658823529411765,2730.0705882352945,682.5176470588236
1403,3, Graduate, Yes,9100000,18800000,20,308,14500000,10200000,20500000,4800000,0,45200000,13921600000,740.5106382978723,9.680851063829786,2981.702127659574,745.4255319148936
1404,5, Graduate, No,6100000,23500000,16,300,300000,700000,22800000,4800000,0,23800000,7140000000,303.82978723404256,4.153191489361702,1245.9574468085107,207.6595744680851
1405,3, Graduate, Yes,8400000,19600000,2,741,21500000,200000,18700000,8300000,1,40400000,29936400000,1527.3673469387754,0.8571428571428571,635.1428571428571,158.78571428571428
1406,4, Graduate, No,7900000,31400000,8,698,16500000,11400000,28700000,5100000,1,56600000,39506800000,1258.1783439490446,2.0127388535031847,1404.8917197452229,280.9783439490446
1407,2, Not Graduate, Yes,6100000,22300000,10,733,12100000,9700000,17200000,5600000,1,39000000,28587000000,1281.9282511210763,2.7354260089686098,2005.067264573991,668.355754857997
1408,3, Not Graduate, Yes,2000000,4200000,16,571,1700000,3900000,5800000,1300000,1,11400000,6509400000,1549.857142857143,7.619047619047619,4350.47619047619,1087.6190476190475
1409,3, Graduate, Yes,9900000,29900000,20,490,10500000,9100000,27100000,7400000,0,46700000,22883000000,765.3177257525084,6.622073578595318,3244.816053511706,811.2040133779265
1410,2, Not Graduate, No,9500000,25400000,16,451,19000000,2900000,33800000,11400000,0,55700000,25120700000,989.003937007874,5.984251968503937,2698.8976377952754,899.6325459317585
1411,4, Graduate, Yes,1900000,6800000,6,559,3600000,2200000,6200000,1200000,1,12000000,6708000000,986.4705882352941,1.6764705882352942,937.1470588235294,187.4294117647059
1412,4, Graduate, Yes,6900000,21400000,10,577,12500000,2200000,14900000,6300000,1,29600000,17079200000,798.0934579439253,3.2242990654205608,1860.4205607476636,372.0841121495327
1413,2, Not Graduate, Yes,1500000,5000000,4,613,4400000,1300000,5200000,2100000,1,10900000,6681700000,1336.34,1.2,735.6,245.20000000000002
1414,4, Not Graduate, No,1900000,3800000,20,785,1000000,600000,6100000,1500000,1,7700000,6044500000,1590.657894736842,10.0,7850.0,1570.0
1415,0, Graduate, Yes,2300000,6000000,8,690,5500000,2900000,6000000,2000000,1,14400000,9936000000,1656.0,3.066666666666667,2116.0,2116.0
1416,2, Not Graduate, No,7800000,17100000,14,351,19000000,7200000,19300000,7100000,0,45500000,15970500000,933.9473684210526,6.385964912280702,2241.4736842105262,747.1578947368421
1417,4, Not Graduate, No,400000,1000000,10,447,0,300000,900000,300000,0,1200000,536400000,536.4,4.0,1788.0,357.6
1418,0, Graduate, Yes,9400000,19200000,20,708,21200000,16300000,23400000,13200000,1,60900000,43117200000,2245.6875,9.791666666666666,6932.5,6932.5
1419,2, Graduate, No,9100000,21700000,12,549,25500000,11000000,34700000,12200000,0,71200000,39088800000,1801.3271889400921,5.032258064516129,2762.7096774193546,920.9032258064516
